"","date","county","population","cases","cases_per_pop","deaths","deaths_per_pop"
"284",2020-03-27,"Polk",86085,10,0.000116164256258349,0,0
"285",2020-03-27,"Tillamook",27036,1,3.69877200769345e-05,0,0
"286",2020-03-27,"Umatilla",77950,3,3.84862091084028e-05,0,0
"287",2020-03-27,"Union",26835,1,3.72647661635923e-05,0,0
"288",2020-03-27,"Wasco",26682,2,7.4956899782625e-05,0,0
"289",2020-03-27,"Washington",601592,122,0.000202795249936834,3,4.9867684410697e-06
"290",2020-03-27,"Yamhill",107100,11,0.000102707749766573,0,0
"291",2020-03-28,"Benton",93053,9,9.67190740760642e-05,0,0
"292",2020-03-28,"Clackamas",418187,36,8.60858898052785e-05,2,4.78254943362658e-06
"293",2020-03-28,"Clatsop",40224,3,7.4582338902148e-05,0,0
"294",2020-03-28,"Columbia",52354,1,1.91007372884593e-05,0,0
"295",2020-03-28,"Deschutes",197692,20,0.000101167472634199,0,0
"296",2020-03-28,"Douglas",110980,4,3.6042530185619e-05,0,0
"297",2020-03-28,"Grant",7199,1,0.000138908181691902,0,0
"298",2020-03-28,"Hood River",23382,1,4.2767941151313e-05,0,0
"299",2020-03-28,"Jackson",220944,8,3.62082699688609e-05,0,0
"300",2020-03-28,"Josephine",87487,5,5.7151348200304e-05,0,0
"301",2020-03-28,"Klamath",68238,2,2.93091825668982e-05,0,0
"302",2020-03-28,"Lane",382067,9,2.35560778606894e-05,1,2.61734198452104e-06
"303",2020-03-28,"Lincoln",49962,1,2.00152115607862e-05,0,0
"304",2020-03-28,"Linn",129749,32,0.000246630031830688,1,7.70718849470902e-06
"305",2020-03-28,"Marion",347818,94,0.00027025628345859,3,8.62520053591246e-06
"306",2020-03-28,"Morrow",11603,1,8.61846074291132e-05,0,0
"307",2020-03-28,"Multnomah",812855,81,9.96487688456121e-05,2,2.46046342828672e-06
"308",2020-03-28,"Polk",86085,11,0.000127780681884184,0,0
"309",2020-03-28,"Tillamook",27036,1,3.69877200769345e-05,0,0
"310",2020-03-28,"Umatilla",77950,4,5.13149454778704e-05,0,0
"311",2020-03-28,"Union",26835,1,3.72647661635923e-05,0,0
"312",2020-03-28,"Wasco",26682,2,7.4956899782625e-05,0,0
"313",2020-03-28,"Washington",601592,140,0.000232715860583252,3,4.9867684410697e-06
"314",2020-03-28,"Yamhill",107100,13,0.000121381886087768,1,9.33706816059757e-06
"315",2020-03-29,"Benton",93053,9,9.67190740760642e-05,0,0
"316",2020-03-29,"Clackamas",418187,39,9.32597139557184e-05,2,4.78254943362658e-06
"317",2020-03-29,"Clatsop",40224,3,7.4582338902148e-05,0,0
"318",2020-03-29,"Columbia",52354,1,1.91007372884593e-05,0,0
"319",2020-03-29,"Deschutes",197692,23,0.000116342593529328,0,0
"320",2020-03-29,"Douglas",110980,4,3.6042530185619e-05,0,0
"321",2020-03-29,"Grant",7199,1,0.000138908181691902,0,0
"322",2020-03-29,"Hood River",23382,2,8.5535882302626e-05,0,0
"323",2020-03-29,"Jackson",220944,19,8.59946411760446e-05,0,0
"324",2020-03-29,"Josephine",87487,6,6.85816178403649e-05,0,0
"325",2020-03-29,"Klamath",68238,4,5.86183651337964e-05,0,0
"326",2020-03-29,"Lane",382067,10,2.61734198452104e-05,1,2.61734198452104e-06
"327",2020-03-29,"Lincoln",49962,1,2.00152115607862e-05,0,0
"328",2020-03-29,"Linn",129749,36,0.000277458785809525,1,7.70718849470902e-06
"329",2020-03-29,"Marion",347818,109,0.000313382286138153,3,8.62520053591246e-06
"330",2020-03-29,"Morrow",11603,1,8.61846074291132e-05,0,0
"331",2020-03-29,"Multnomah",812855,91,0.000111951085987046,2,2.46046342828672e-06
"332",2020-03-29,"Polk",86085,13,0.000151013533135854,0,0
"333",2020-03-29,"Tillamook",27036,2,7.39754401538689e-05,0,0
"334",2020-03-29,"Umatilla",77950,4,5.13149454778704e-05,0,0
"335",2020-03-29,"Union",26835,1,3.72647661635923e-05,0,0
"336",2020-03-29,"Wasco",26682,3,0.000112435349673937,0,0
"337",2020-03-29,"Washington",601592,154,0.000255987446641578,3,4.9867684410697e-06
"338",2020-03-29,"Yamhill",107100,13,0.000121381886087768,1,9.33706816059757e-06
"339",2020-03-30,"Benton",93053,10,0.000107465637862294,0,0
"340",2020-03-30,"Clackamas",418187,40,9.56509886725317e-05,3,7.17382415043987e-06
"341",2020-03-30,"Clatsop",40224,3,7.4582338902148e-05,0,0
"342",2020-03-30,"Columbia",52354,1,1.91007372884593e-05,0,0
"343",2020-03-30,"Deschutes",197692,25,0.000126459340792748,0,0
"344",2020-03-30,"Douglas",110980,8,7.20850603712381e-05,0,0
"345",2020-03-30,"Grant",7199,1,0.000138908181691902,0,0
"346",2020-03-30,"Hood River",23382,2,8.5535882302626e-05,0,0
"347",2020-03-30,"Jackson",220944,20,9.05206749221522e-05,0,0
"348",2020-03-30,"Josephine",87487,10,0.000114302696400608,0,0
"349",2020-03-30,"Klamath",68238,4,5.86183651337964e-05,0,0
"350",2020-03-30,"Lane",382067,12,3.14081038142525e-05,1,2.61734198452104e-06
"351",2020-03-30,"Lincoln",49962,1,2.00152115607862e-05,0,0
"352",2020-03-30,"Linn",129749,36,0.000277458785809525,2,1.5414376989418e-05
"353",2020-03-30,"Marion",347818,123,0.000353633221972411,3,8.62520053591246e-06
"354",2020-03-30,"Morrow",11603,1,8.61846074291132e-05,0,0
"355",2020-03-30,"Multnomah",812855,100,0.000123023171414336,2,2.46046342828672e-06
"356",2020-03-30,"Polk",86085,15,0.000174246384387524,0,0
"357",2020-03-30,"Tillamook",27036,3,0.000110963160230803,0,0
"358",2020-03-30,"Umatilla",77950,4,5.13149454778704e-05,0,0
"359",2020-03-30,"Union",26835,1,3.72647661635923e-05,0,0
"360",2020-03-30,"Wasco",26682,5,0.000187392249456562,0,0
"361",2020-03-30,"Washington",601592,168,0.000279259032699903,3,4.9867684410697e-06
"362",2020-03-30,"Yamhill",107100,14,0.000130718954248366,2,1.86741363211951e-05
"363",2020-03-31,"Benton",93053,12,0.000128958765434752,1,1.07465637862294e-05
"364",2020-03-31,"Clackamas",418187,50,0.000119563735840665,3,7.17382415043987e-06
"365",2020-03-31,"Clatsop",40224,3,7.4582338902148e-05,0,0
"366",2020-03-31,"Columbia",52354,1,1.91007372884593e-05,0,0
"367",2020-03-31,"Deschutes",197692,24,0.000121400967161038,0,0
"368",2020-03-31,"Douglas",110980,9,8.10956929176428e-05,0,0
"369",2020-03-31,"Grant",7199,1,0.000138908181691902,0,0
"370",2020-03-31,"Hood River",23382,3,0.000128303823453939,0,0
