"","lon","lat","group","county"
"271",-123.690124511719,43.1322631835938,6,"coos"
"272",-123.690124511719,43.0978851318359,6,"coos"
"273",-123.758888244629,43.0749664306641,6,"coos"
"274",-123.764610290527,42.9890213012695,6,"coos"
"275",-123.816177368164,42.9832916259766,6,"coos"
"276",-123.816177368164,42.811408996582,6,"coos"
"278",-119.645050048828,43.9573211669922,7,"crook"
"279",-119.76537322998,43.9515914916992,7,"crook"
"280",-119.76537322998,43.6880302429199,7,"crook"
"281",-119.885696411133,43.6880302429199,7,"crook"
"282",-120.246658325195,43.6880302429199,7,"crook"
"283",-120.252380371094,43.7797050476074,7,"crook"
"284",-120.378433227539,43.7797050476074,7,"crook"
"285",-120.384162902832,43.859920501709,7,"crook"
"286",-120.739395141602,43.859920501709,7,"crook"
"287",-120.739395141602,43.9515914916992,7,"crook"
"288",-120.980041503906,43.9573211669922,7,"crook"
"289",-120.980041503906,44.1292114257812,7,"crook"
"290",-121.088897705078,44.134937286377,7,"crook"
"291",-121.088897705078,44.2151527404785,7,"crook"
"292",-121.111824035645,44.2266120910645,7,"crook"
"293",-121.111824035645,44.318286895752,7,"crook"
"294",-121.111824035645,44.3870391845703,7,"crook"
"295",-120.985763549805,44.3927688598633,7,"crook"
"296",-120.985763549805,44.4729843139648,7,"crook"
"297",-120.831069946289,44.4787139892578,7,"crook"
"298",-120.825332641602,44.5531959533691,7,"crook"
"299",-120.372695922852,44.5531959533691,7,"crook"
"300",-120.372695922852,44.4328765869141,7,"crook"
"301",-120.006011962891,44.4328765869141,7,"crook"
"302",-120.006011962891,44.3813133239746,7,"crook"
"303",-119.879959106445,44.3813133239746,7,"crook"
"304",-119.874229431152,44.3010940551758,7,"crook"
"305",-119.650772094727,44.2953681945801,7,"crook"
"306",-119.645050048828,43.9573211669922,7,"crook"
"308",-123.816177368164,42.811408996582,8,"curry"
"309",-123.718780517578,42.7713012695312,8,"curry"
"310",-123.816177368164,42.6567077636719,8,"curry"
"311",-123.816177368164,42.6051406860352,8,"curry"
"312",-123.890670776367,42.496280670166,8,"curry"
"313",-123.993789672852,42.4905471801758,8,"curry"
"314",-123.993789672852,42.4676284790039,8,"curry"
"315",-124.016716003418,42.4447135925293,8,"curry"
"316",-124.01099395752,42.4160652160645,8,"curry"
"317",-124.045356750488,42.3988761901855,8,"curry"
"318",-124.045356750488,42.358772277832,8,"curry"
"319",-123.867744445801,42.3415832519531,8,"curry"
"320",-123.827644348145,42.3129348754883,8,"curry"
"321",-123.816177368164,42.2499084472656,8,"curry"
"322",-123.793258666992,42.2269897460938,8,"curry"
"323",-123.810455322266,42.2098007202148,8,"curry"
"324",-123.816177368164,42.1639633178711,8,"curry"
"325",-123.850563049316,42.1525039672852,8,"curry"
"326",-123.850563049316,42.1238555908203,8,"curry"
"327",-123.827644348145,42.1181259155273,8,"curry"
"328",-123.816177368164,42.0780181884766,8,"curry"
"329",-123.844825744629,42.049373626709,8,"curry"
"330",-123.844825744629,42.0092658996582,8,"curry"
"331",-124.18286895752,42.0035362243652,8,"curry"
"332",-124.188606262207,42.0321846008301,8,"curry"
"333",-124.25163269043,42.0665626525879,8,"curry"
"334",-124.297462463379,42.1009368896484,8,"curry"
"335",-124.331848144531,42.1639633178711,8,"curry"
"336",-124.354751586914,42.2384490966797,8,"curry"
"337",-124.37767791748,42.2613677978516,8,"curry"
"338",-124.371955871582,42.3014755249023,8,"curry"
"339",-124.394859313965,42.3415832519531,8,"curry"
"340",-124.383415222168,42.3816909790039,8,"curry"
"341",-124.394859313965,42.4447135925293,8,"curry"
"342",-124.383415222168,42.496280670166,8,"curry"
"343",-124.343307495117,42.5650367736816,8,"curry"
"344",-124.371955871582,42.628059387207,8,"curry"
"345",-124.37767791748,42.6567077636719,8,"curry"
"346",-124.417785644531,42.6968154907227,8,"curry"
"347",-124.429244995117,42.7369194030762,8,"curry"
"348",-124.475074768066,42.759838104248,8,"curry"
"349",-124.486534118652,42.8056755065918,8,"curry"
"350",-124.532379150391,42.8457832336426,8,"curry"
"351",-124.469352722168,42.9259986877441,8,"curry"
"352",-124.446426391602,42.954647064209,8,"curry"
"353",-124.257354736328,42.960376739502,8,"curry"
"354",-124.257354736328,42.9317283630371,8,"curry"
"355",-124.222984313965,42.9317283630371,8,"curry"
